Plot_ID,Latitude,Longitude,DBH,Tree_Height,Crown_Width_North_South,Crown_Width_East_West,Slope,Elevation,Temperature,Humidity,Soil_TN,Soil_TP,Soil_AP,Soil_AN,Menhinick_Index,Gleason_Index,Disturbance_Level,Fire_Risk_Index,Health_Status
1,24.9816047538945,-117.04069498129662,29.86203995491107,20.835683837849146,6.147962904552335,4.542719682496979,29.171562933501992,212.51841871377366,30.209377338158845,93.08624091221559,0.37990441028203153,0.2688501279366865,0.3288816291593577,0.487287230416185,0.6829377469200053,2.9986809749162138,0.004401609003786278,0.8129477019446214,Healthy
2,48.02857225639664,-92.06693368351493,28.462985911839983,24.307079121358424,8.248890963699877,5.260920934375193,7.7573862947324805,641.6403318702751,29.05490515445947,62.02883854555984,0.33958297526908926,0.07325991675651532,0.04461612203413864,0.013500630377872927,0.7236959574560435,3.986987090050377,0.00033015925947643687,0.678542029790759,Very Healthy
3,39.2797576724562,-68.89379148865143,91.09418514949849,9.013101166189971,7.841448368111431,8.690926538819623,39.25775535096667,2510.6128347608333,8.351396953217519,77.99282174688675,0.18439237337783146,0.297665238346554,0.1249532566696008,0.47408756827513904,2.1299342848074017,3.2506671226253325,0.4722634607952153,0.8890749167467196,Healthy
4,33.946339367881464,-78.74425795133072,28.70688898570308,19.496474788995968,2.385099142243963,4.060039474539029,27.59023075811587,2323.6282333811737,37.290034171703,54.88386383780703,0.611194003400473,0.1608188837398942,0.3879712765072291,0.18749532480532663,1.7173517830981206,1.3332103324471856,0.02929370500537065,0.4493360594354341,Unhealthy
5,16.24074561769746,-73.54071964969852,30.835223982219944,18.008887528024964,2.343245227673265,8.826847163309541,7.074174760062942,1116.863805225726,24.896527075488684,70.40276620339506,0.48185791890354257,0.030912639570753204,0.26669949757101574,0.009994750485831353,2.4760381257980253,1.7423209471342216,0.9745325536623746,0.8938897627221916,Unhealthy
6,16.239780813448107,-83.88516433024978,77.14283492970655,25.31925055007159,3.41356930970422,1.7932098787902233,43.30521258665431,1192.7508205452161,17.73039323974895,47.2460749936895,0.8670439824007636,0.4745847980647496,0.46434468558458714,0.3461328297036316,2.7906770933588287,1.8773127361236766,0.22206517454139196,0.8657741223560754,Healthy
7,12.32334448672798,-81.54064048375034,47.7252850328013,27.370437693475296,4.249672537069335,7.991185934877676,23.326445850089428,1647.3078573053804,31.478850422335732,44.09272158283563,0.04178848467723767,0.32253773268682245,0.21723194712897037,0.49036745049552033,1.4709171941788688,2.0314570145793795,0.4726647293648447,0.4384093323592696,Healthy
8,44.647045830997406,-70.55630439042764,78.78750291074222,2.3403896013668306,4.676100232676344,8.627928697492628,3.280430334224475,100.6989135868902,14.007791044057193,66.2583828935611,0.647429248279575,0.43907487127606926,0.4355571210778919,0.4829847328046083,1.9910250664616156,3.261613567802017,0.06113763001222361,0.3811433152929786,Healthy
9,34.04460046972835,-112.52323937985699,11.209784968616598,20.872557733646193,7.117274951500107,2.6363588755360485,28.207480698678026,799.6085745102808,29.272844296621216,59.85037393471843,0.7653193897264455,0.3396477224815603,0.22723294155172757,0.08466382054519712,1.7517415694882748,3.015863119301574,0.5220484161712585,0.9328120149702568,Healthy
10,38.32290311184182,-95.74025254498017,51.31926339897151,3.4514023753524126,1.5101238894925186,4.873118791349804,11.39395081557646,703.8722449638219,6.389892265028653,66.36290953199848,0.761891703496424,0.18170692760935592,0.4897278979574827,0.09471766400274673,2.954026639106082,1.8126401534568357,0.3799561251474085,0.7151647345384377,Healthy
